"","RKI","LGL","Inzidenz=35","",""
"20.3.","75,4","75,39","35","",""
"21.3.","83,9","83,95","35","",""
"22.3.","86,0","85,97","35","",""
"23.3.","80,0","79,97","35","",""
"24.3.","82,5","82,47","35","",""
"25.3.","84,4","84,42","35","",""
"26.3.","89,6","89,61","35","",""
"27.3.","92,2","92,24","35","",""
"28.3.","98,8","98,77","35","",""
"29.3.","97,3","97,29","35","",""
"30.3.","97,4","97,42","35","",""
"31.3.","100,2","100,19","35","",""
"1.4.","102,7","102,75","35","",""
"2.4.","104,3","104,2","35","",""
"3.4.","98,8","98,77","35","",""
"4.4.","94,5","94,46","35","",""
"5.4.","96,1","96,08","35","",""
"6.4.","85,4","91,2","35","",""
"7.4.","82,8","82,74","35","",""
"8.4.","87,4","87,39","35","",""
"9.4.","95,5","95,54","35","",""
"10.4.","102,5","102,48","35","",""
"11.4.","94,4","116,4","35","",""
"12.4.","126,9","126,87","35","",""
"13.4.","134,7","134,68","35","",""
"14.4.","147,1","147,15","35","",""
"15.4.","154,3","154,29","35","",""
"16.4.","158,5","158,53","35","",""
"17.4.","165,7","165,68","35","",""
"18.4.","163,9","163,86","35","",""
"19.4.","161,3","161,30","35","",""
"20.4.","155,4","155,37","35","",""
"21.4.","156,5","156,51","35","",""
"22.4.","146,4","146,41","35","",""
"23.4.","148,2","148,16","35","",""
"24.4.","146,8","146,81","35","",""
"25.4.","145,5","145,46","35","",""
"26.4.","146,8","146,81","35","",""
"27.4.","140,8","140,81","35","",""
"28.4.","130,3","130,84","35","",""
"29.4.","131,6","131,58","35","",""
"30.4.","127,9","127,95","35","",""
"1.5.","123,8","123,84","35","",""
"2.5.","126,7","126,67","35","",""
"3.5.","126,4","126,40","35","",""
"4.5.","112,4","112,38","35","",""
"5.5","99,0","98,97","35","",""
"6.5.","98,3","98,30","35","",""
"7.5.","94,1","94,1","35","",""
"8.5.","92,3","92,30","35","",""
"9.5.","91,2","91,23","35","",""
"10.5.","84,9","84,89","35","",""
"11.5.","78,0","77,95","35","",""
"12.5.","71,9","71,89","35","",""
"13.5.","64,0","64,01","35","",""
"14.5","58,8","58,75","35","",""
"15.5.","53,5","53,50","35","",""
"16.5.","53,5","53,50","35","",""
"17.5.","54,3","54,30","35","",""
"18.5.","53,8","53,83","35","",""
"19.5.","47,3","47,30","35","",""
"20.5.","47,6","47,57","35","",""
"21.5.","51,5","51,47","35","",""
"22.5.","--","--","35","",""
"23.5.","53,5","53,43","35","",""
"24.5.","49,7","49,66","35","",""
"25.5.","43,8","43,73","35","",""
"26.5.","38,7","38,67","35","",""
"27.5.","34,9","34,90","35","",""
"28.5.","30,4","30,39","35","",""
"29.5.","30,4","30,39","35","",""
"30.5.","30,7","30,66","35","",""
"31.5.","30,7","30,72","35","",""
"1.6.","28,3","28,30","35","",""
"2.6.","28,7","28,70","35","",""
"3.6.","28,0","28,03","35","",""
"4.6.","26,1","26,14","35","",""
"5.6.","22,0","22,03","35","",""
"6.6.","23,0","22,97","35","",""
"7.6.","22,6","22,57","35","",""
"8.6.","21,2","21,22","35","",""
"9.6.","18,8","18,8","35","",""
"10.6.","18,7","18,73","35","",""
"11.6.","20,1","20,15","35","",""
"12.6.","20,0","20,01","35","",""
"13.6.","18,3","18,33","35","",""
"14.6.","18,1","18,06","35","",""
"15.6.","15,8","15,83","35","",""
"16.6.","15,3","15,29","35","",""
